epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.048,1.32866,3.61236,1.65289,0.09118,0.38,0.12876,0.06992,1.762,4.94633,2.33321,0.000326923,0.000326923,0.0676346
2,86.2636,1.33413,2.39512,1.58919,0.17161,0.30881,0.1549,0.07977,1.61598,3.77477,2.41773,0.00065372,0.00065372,0.0346281
3,144.066,1.35583,2.24759,1.59943,0.32668,0.33432,0.22287,0.1181,1.79639,3.54378,2.39845,0.000973917,0.000973917,0.00161494
4,195.417,1.35943,2.18431,1.60758,0.48121,0.18413,0.12273,0.06827,1.83199,5.15785,2.33032,0.0009703,0.0009703,0.0009703
5,237.408,1.33713,2.10691,1.60503,0.18233,0.30538,0.17632,0.08758,1.89718,3.44422,2.43455,0.0009604,0.0009604,0.0009604
6,285.267,1.2977,2.01734,1.54617,0.33431,0.34349,0.32744,0.18812,1.59814,2.4801,1.97303,0.0009505,0.0009505,0.0009505
7,329.138,1.27269,1.958,1.55167,0.49839,0.30438,0.33475,0.18217,1.5352,2.56821,1.9521,0.0009406,0.0009406,0.0009406
8,374.417,1.22312,1.8484,1.50167,0.25041,0.4244,0.32586,0.21036,1.44861,2.23458,1.90597,0.0009307,0.0009307,0.0009307
9,419.114,1.23065,1.77643,1.50539,0.33443,0.47639,0.3922,0.23626,1.4439,1.98609,1.8047,0.0009208,0.0009208,0.0009208
10,464.389,1.19438,1.81387,1.49012,0.46523,0.4454,0.44379,0.28175,1.3513,2.03311,1.7416,0.0009109,0.0009109,0.0009109
11,508.443,1.21643,1.76425,1.50113,0.36232,0.47195,0.39104,0.24074,1.40816,2.03113,1.77974,0.000901,0.000901,0.000901
12,538.106,1.18094,1.67562,1.46257,0.52823,0.44424,0.46698,0.32007,1.28861,1.91717,1.68093,0.0008911,0.0008911,0.0008911
13,577.602,1.15263,1.66873,1.44309,0.46061,0.54703,0.52895,0.36552,1.17199,1.67509,1.55739,0.0008812,0.0008812,0.0008812
14,629.519,1.10879,1.62842,1.41718,0.39934,0.43924,0.40878,0.2592,1.34738,2.28175,1.72891,0.0008713,0.0008713,0.0008713
15,670.464,1.12343,1.60127,1.43344,0.26604,0.41547,0.2989,0.19084,1.39579,2.22643,1.73919,0.0008614,0.0008614,0.0008614
16,698.957,1.07834,1.5457,1.39925,0.40647,0.53698,0.50364,0.34669,1.1551,1.68617,1.5559,0.0008515,0.0008515,0.0008515
17,731.839,1.04398,1.44558,1.35733,0.61513,0.41122,0.50458,0.35105,1.22694,1.69948,1.60931,0.0008416,0.0008416,0.0008416
18,772.119,1.06461,1.45478,1.38877,0.54881,0.50562,0.54885,0.38175,1.14784,1.53965,1.53247,0.0008317,0.0008317,0.0008317
19,817.831,1.01581,1.43227,1.3454,0.49124,0.54745,0.53649,0.35936,1.25786,1.61402,1.61487,0.0008218,0.0008218,0.0008218
20,858.459,1.04552,1.39327,1.36519,0.49497,0.57255,0.55516,0.39121,1.08809,1.72511,1.49564,0.0008119,0.0008119,0.0008119
21,899.457,1.03872,1.41931,1.36387,0.58994,0.45029,0.52392,0.36848,1.19728,1.70648,1.59067,0.000802,0.000802,0.000802
22,943.462,0.99194,1.34324,1.33414,0.68539,0.55781,0.61946,0.43163,1.1142,1.4404,1.49011,0.0007921,0.0007921,0.0007921
23,993.021,1.01592,1.31532,1.34364,0.42232,0.53922,0.51042,0.35578,1.14102,1.61783,1.52879,0.0007822,0.0007822,0.0007822
24,1022.94,1.00314,1.30772,1.32934,0.57986,0.55866,0.57689,0.39422,1.08514,1.48439,1.45564,0.0007723,0.0007723,0.0007723
25,1053.93,0.95765,1.25626,1.30963,0.6331,0.48237,0.56474,0.3918,1.16697,1.61588,1.53999,0.0007624,0.0007624,0.0007624
26,1091.71,0.97936,1.25587,1.31267,0.58855,0.61938,0.65077,0.47681,1.00715,1.25751,1.38631,0.0007525,0.0007525,0.0007525
27,1130.89,0.99684,1.27678,1.31793,0.52458,0.62231,0.60229,0.43982,1.04772,1.48111,1.41836,0.0007426,0.0007426,0.0007426
28,1164.84,0.95829,1.24963,1.31744,0.61975,0.54237,0.64924,0.48393,0.96825,1.32948,1.35976,0.0007327,0.0007327,0.0007327
29,1202.88,0.94469,1.21154,1.28191,0.59642,0.62453,0.67947,0.51095,1.03725,1.3329,1.41633,0.0007228,0.0007228,0.0007228
30,1242.04,0.94825,1.17485,1.27474,0.66207,0.61347,0.65484,0.48483,1.00888,1.33988,1.39197,0.0007129,0.0007129,0.0007129
31,1280.96,0.9202,1.13107,1.26481,0.56316,0.65419,0.6576,0.48177,0.95664,1.26152,1.3517,0.000703,0.000703,0.000703
32,1321.47,0.91895,1.16647,1.28146,0.65895,0.65295,0.67889,0.51259,1.00638,1.18919,1.41883,0.0006931,0.0006931,0.0006931
33,1354.83,0.93418,1.13697,1.29137,0.65915,0.64421,0.65159,0.46689,1.0378,1.27687,1.41565,0.0006832,0.0006832,0.0006832
34,1394.15,0.93117,1.13896,1.27609,0.71364,0.62052,0.68241,0.49796,0.95017,1.18591,1.33456,0.0006733,0.0006733,0.0006733
35,1436.26,0.88342,1.07895,1.24033,0.68608,0.58054,0.65624,0.49856,0.94465,1.24422,1.36457,0.0006634,0.0006634,0.0006634
36,1480.8,0.86129,1.02345,1.23513,0.72117,0.61311,0.67867,0.52231,0.89555,1.21956,1.30208,0.0006535,0.0006535,0.0006535
37,1516.02,0.8552,1.01957,1.23583,0.74115,0.58168,0.68961,0.51903,0.92687,1.17376,1.36561,0.0006436,0.0006436,0.0006436
38,1555.09,0.84283,0.97945,1.22593,0.63727,0.63656,0.69189,0.52638,0.93048,1.17496,1.33146,0.0006337,0.0006337,0.0006337
